,time_elapsed,rt,subject,concept_group,filename,evalAttrUncs,img_id
42,843173.0,28324.0,6advpj5vj05ukbc,belly pattern,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Multi-colored', 'x': 0, 'y': 93}, {'label': 'Solid', 'x': 1, 'y': 2}, {'label': 'Spotted', 'x': 2, 'y': 22}, {'label': 'Striped', 'x': 3, 'y': 14}]",4081
44,869550.0,26373.0,6advpj5vj05ukbc,leg color,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Black', 'x': 0, 'y': 70}, {'label': 'Brown', 'x': 1, 'y': 70}, {'label': 'Grey', 'x': 2, 'y': 37}, {'label': 'White', 'x': 3, 'y': 10}]",4081
46,908790.0,39235.0,6advpj5vj05ukbc,head pattern,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Capped', 'x': 0, 'y': 50}, {'label': 'Crested', 'x': 1, 'y': 50}, {'label': 'Eyebrow', 'x': 2, 'y': 50}, {'label': 'Eyeline', 'x': 3, 'y': 50}, {'label': 'Eyering', 'x': 4, 'y': 50}, {'label': 'Malar', 'x': 5, 'y': 50}, {'label': 'Masked', 'x': 6, 'y': 50}, {'label': 'Plain', 'x': 7, 'y': 50}, {'label': 'Spotted', 'x': 8, 'y': 50}, {'label': 'Striped', 'x': 9, 'y': 50}, {'label': 'Unique pattern', 'x': 10, 'y': 50}]",4081
48,929902.0,21109.0,6advpj5vj05ukbc,throat color,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Black', 'x': 0, 'y': 62}, {'label': 'Grey', 'x': 1, 'y': 79}, {'label': 'White', 'x': 2, 'y': 70}]",4081
50,945181.0,15275.0,6advpj5vj05ukbc,forehead color,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Black', 'x': 0, 'y': 90}, {'label': 'Grey', 'x': 1, 'y': 65}, {'label': 'White', 'x': 2, 'y': 12}]",4081
52,963333.0,18149.0,6advpj5vj05ukbc,under tail color,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Black', 'x': 0, 'y': 66}, {'label': 'Grey', 'x': 1, 'y': 63}, {'label': 'White', 'x': 2, 'y': 63}]",4081
54,985366.0,22030.0,6advpj5vj05ukbc,underparts color,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Black', 'x': 0, 'y': 50}, {'label': 'Brown', 'x': 1, 'y': 50}, {'label': 'Grey', 'x': 2, 'y': 50}, {'label': 'White', 'x': 3, 'y': 50}]",4081
56,995039.0,9670.0,6advpj5vj05ukbc,back pattern,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Multi-colored', 'x': 0, 'y': 50}, {'label': 'Solid', 'x': 1, 'y': 50}, {'label': 'Spotted', 'x': 2, 'y': 50}, {'label': 'Striped', 'x': 3, 'y': 50}]",4081
58,1015615.0,20573.0,6advpj5vj05ukbc,back color,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Black', 'x': 0, 'y': 81}, {'label': 'Grey', 'x': 1, 'y': 48}, {'label': 'White', 'x': 2, 'y': 35}]",4081
60,1032566.0,16948.0,6advpj5vj05ukbc,tail pattern,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Multi-colored', 'x': 0, 'y': 92}, {'label': 'Solid', 'x': 1, 'y': 23}, {'label': 'Spotted', 'x': 2, 'y': 16}, {'label': 'Striped', 'x': 3, 'y': 15}]",4081
62,1061544.0,28976.0,6advpj5vj05ukbc,breast pattern,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Multi-colored', 'x': 0, 'y': 4}, {'label': 'Solid', 'x': 1, 'y': 98}]",6846
64,1101513.0,39964.0,6advpj5vj05ukbc,forehead color,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Black', 'x': 0, 'y': 50}, {'label': 'Brown', 'x': 1, 'y': 70}, {'label': 'Buff', 'x': 2, 'y': 75}, {'label': 'Grey', 'x': 3, 'y': 77}, {'label': 'Olive', 'x': 4, 'y': 50}, {'label': 'White', 'x': 5, 'y': 50}]",6846
66,1115002.0,13486.0,6advpj5vj05ukbc,upperparts color,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Black', 'x': 0, 'y': 50}, {'label': 'Brown', 'x': 1, 'y': 50}, {'label': 'Buff', 'x': 2, 'y': 50}, {'label': 'Grey', 'x': 3, 'y': 50}, {'label': 'Olive', 'x': 4, 'y': 50}, {'label': 'White', 'x': 5, 'y': 50}]",6846
68,1138769.0,23763.0,6advpj5vj05ukbc,size,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Very small (3 - 5 in)', 'x': 0, 'y': 51}, {'label': 'Small (5 - 9 in)', 'x': 1, 'y': 86}, {'label': 'Medium (9 - 16 in)', 'x': 2, 'y': 47}]",6846
70,1153848.0,15076.0,6advpj5vj05ukbc,bill length,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'About the same as head', 'x': 0, 'y': 10}, {'label': 'Shorter than head', 'x': 1, 'y': 98}]",6846
72,1170928.0,17077.0,6advpj5vj05ukbc,breast color,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Grey', 'x': 0, 'y': 19}, {'label': 'White', 'x': 1, 'y': 94}]",6846
74,1185522.0,14591.0,6advpj5vj05ukbc,wing pattern,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Multi-colored', 'x': 0, 'y': 94}, {'label': 'Striped', 'x': 1, 'y': 50}]",6846
76,1204738.0,19212.0,6advpj5vj05ukbc,upper tail color,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Black', 'x': 0, 'y': 50}, {'label': 'Brown', 'x': 1, 'y': 50}, {'label': 'Buff', 'x': 2, 'y': 50}, {'label': 'Grey', 'x': 3, 'y': 70}, {'label': 'Olive', 'x': 4, 'y': 50}, {'label': 'White', 'x': 5, 'y': 68}]",6846
78,1236034.0,31292.0,6advpj5vj05ukbc,back pattern,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Multi-colored', 'x': 0, 'y': 50}, {'label': 'Solid', 'x': 1, 'y': 69}, {'label': 'Spotted', 'x': 2, 'y': 50}, {'label': 'Striped', 'x': 3, 'y': 50}]",6846
80,1332188.0,96152.0,6advpj5vj05ukbc,shape,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Chicken-like-marsh', 'x': 0, 'y': 21}, {'label': 'Duck-like', 'x': 1, 'y': 17}, {'label': 'Gull-like', 'x': 2, 'y': 10}, {'label': 'Hawk-like', 'x': 3, 'y': 33}, {'label': 'Hummingbird-like', 'x': 4, 'y': 55}, {'label': 'Long-legged-like', 'x': 5, 'y': 61}, {'label': 'Owl-like', 'x': 6, 'y': 49}, {'label': 'Perching-like', 'x': 7, 'y': 93}, {'label': 'Pigeon-like', 'x': 8, 'y': 74}, {'label': 'Sandpiper-like', 'x': 9, 'y': 50}, {'label': 'Swallow-like', 'x': 10, 'y': 50}, {'label': 'Tree-clinging-like', 'x': 11, 'y': 51}, {'label': 'Upland-ground-like', 'x': 12, 'y': 50}, {'label': 'Upright-perching water-like', 'x': 13, 'y': 54}]",6846
82,1366644.0,34450.0,6advpj5vj05ukbc,bill color,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Black', 'x': 0, 'y': 4}, {'label': 'Brown', 'x': 1, 'y': 50}, {'label': 'Buff', 'x': 2, 'y': 50}, {'label': 'Grey', 'x': 3, 'y': 70}, {'label': 'Olive', 'x': 4, 'y': 50}, {'label': 'White', 'x': 5, 'y': 70}]",6846
84,1401221.0,34574.0,6advpj5vj05ukbc,primary color,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Black', 'x': 0, 'y': 34}, {'label': 'Brown', 'x': 1, 'y': 50}, {'label': 'Buff', 'x': 2, 'y': 50}, {'label': 'Grey', 'x': 3, 'y': 62}, {'label': 'Olive', 'x': 4, 'y': 50}, {'label': 'White', 'x': 5, 'y': 78}]",6846
86,1421535.0,20308.0,6advpj5vj05ukbc,throat color,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Black', 'x': 0, 'y': 50}, {'label': 'Brown', 'x': 1, 'y': 50}, {'label': 'Buff', 'x': 2, 'y': 50}, {'label': 'Grey', 'x': 3, 'y': 55}, {'label': 'Olive', 'x': 4, 'y': 50}, {'label': 'White', 'x': 5, 'y': 71}]",6846
88,1513560.0,92022.0,6advpj5vj05ukbc,bill shape,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'All-purpose', 'x': 0, 'y': 50}, {'label': 'Cone', 'x': 1, 'y': 7}, {'label': 'Curved (up or down)', 'x': 2, 'y': 50}, {'label': 'Dagger', 'x': 3, 'y': 3}, {'label': 'Hooked', 'x': 4, 'y': 61}, {'label': 'Hooked seabird', 'x': 5, 'y': 50}, {'label': 'Spatulate', 'x': 6, 'y': 50}, {'label': 'Specialized', 'x': 7, 'y': 50}]",6846
90,1544432.0,30869.0,6advpj5vj05ukbc,crown color,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Black', 'x': 0, 'y': 23}, {'label': 'Brown', 'x': 1, 'y': 42}, {'label': 'Buff', 'x': 2, 'y': 42}, {'label': 'Grey', 'x': 3, 'y': 42}, {'label': 'Olive', 'x': 4, 'y': 41}, {'label': 'White', 'x': 5, 'y': 16}]",6846
92,1562712.0,18277.0,6advpj5vj05ukbc,nape color,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Black', 'x': 0, 'y': 50}, {'label': 'Brown', 'x': 1, 'y': 50}, {'label': 'Buff', 'x': 2, 'y': 50}, {'label': 'Grey', 'x': 3, 'y': 50}, {'label': 'Olive', 'x': 4, 'y': 50}, {'label': 'White', 'x': 5, 'y': 50}]",6846
94,1583736.0,21022.0,6advpj5vj05ukbc,tail pattern,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Multi-colored', 'x': 0, 'y': 21}, {'label': 'Solid', 'x': 1, 'y': 55}, {'label': 'Spotted', 'x': 2, 'y': 20}, {'label': 'Striped', 'x': 3, 'y': 17}]",6846
96,1598608.0,14868.0,6advpj5vj05ukbc,under tail color,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Black', 'x': 0, 'y': 50}, {'label': 'Brown', 'x': 1, 'y': 50}, {'label': 'Buff', 'x': 2, 'y': 50}, {'label': 'Grey', 'x': 3, 'y': 50}, {'label': 'Olive', 'x': 4, 'y': 50}, {'label': 'White', 'x': 5, 'y': 50}]",6846
98,1613096.0,14485.0,6advpj5vj05ukbc,underparts color,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Black', 'x': 0, 'y': 50}, {'label': 'Brown', 'x': 1, 'y': 50}, {'label': 'Buff', 'x': 2, 'y': 50}, {'label': 'Grey', 'x': 3, 'y': 50}, {'label': 'Olive', 'x': 4, 'y': 50}, {'label': 'White', 'x': 5, 'y': 50}]",6846
100,1621384.0,8285.0,6advpj5vj05ukbc,eye color,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Black', 'x': 0, 'y': 50}, {'label': 'Blue', 'x': 1, 'y': 50}, {'label': 'Brown', 'x': 2, 'y': 50}, {'label': 'Buff', 'x': 3, 'y': 50}, {'label': 'Green', 'x': 4, 'y': 50}, {'label': 'Grey', 'x': 5, 'y': 50}, {'label': 'Olive', 'x': 6, 'y': 50}, {'label': 'Orange', 'x': 7, 'y': 50}, {'label': 'Pink', 'x': 8, 'y': 50}, {'label': 'Purple', 'x': 9, 'y': 50}, {'label': 'Red', 'x': 10, 'y': 50}, {'label': 'Rufous', 'x': 11, 'y': 50}, {'label': 'White', 'x': 12, 'y': 50}, {'label': 'Yellow', 'x': 13, 'y': 50}]",6846
102,1648010.0,26622.0,6advpj5vj05ukbc,belly color,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Brown', 'x': 0, 'y': 9}, {'label': 'Buff', 'x': 1, 'y': 16}, {'label': 'Grey', 'x': 2, 'y': 33}, {'label': 'Olive', 'x': 3, 'y': 32}, {'label': 'White', 'x': 4, 'y': 50}]",6846
104,1676697.0,28684.0,6advpj5vj05ukbc,leg color,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Black', 'x': 0, 'y': 19}, {'label': 'Brown', 'x': 1, 'y': 57}, {'label': 'Buff', 'x': 2, 'y': 56}, {'label': 'Grey', 'x': 3, 'y': 24}, {'label': 'Olive', 'x': 4, 'y': 23}, {'label': 'White', 'x': 5, 'y': 22}]",6846
106,1692106.0,15405.0,6advpj5vj05ukbc,belly pattern,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Multi-colored', 'x': 0, 'y': 9}, {'label': 'Solid', 'x': 1, 'y': 93}]",6846
108,1713330.0,21222.0,6advpj5vj05ukbc,back color,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Black', 'x': 0, 'y': 50}, {'label': 'Brown', 'x': 1, 'y': 50}, {'label': 'Buff', 'x': 2, 'y': 50}, {'label': 'Grey', 'x': 3, 'y': 50}, {'label': 'Olive', 'x': 4, 'y': 50}, {'label': 'White', 'x': 5, 'y': 50}]",6846
110,1727089.0,13757.0,6advpj5vj05ukbc,tail shape,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Fan-shaped tail', 'x': 0, 'y': 50}, {'label': 'Forked tail', 'x': 1, 'y': 50}, {'label': 'Notched tail', 'x': 2, 'y': 50}, {'label': 'Pointed tail', 'x': 3, 'y': 50}, {'label': 'Rounded tail', 'x': 4, 'y': 50}, {'label': 'Squared tail', 'x': 5, 'y': 50}]",6846
112,1736130.0,9037.0,6advpj5vj05ukbc,wing shape,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Broad-wings', 'x': 0, 'y': 50}, {'label': 'Long-wings', 'x': 1, 'y': 50}, {'label': 'Pointed-wings', 'x': 2, 'y': 50}, {'label': 'Rounded-wings', 'x': 3, 'y': 50}, {'label': 'Tapered-wings', 'x': 4, 'y': 50}]",6846
114,1745994.0,9861.0,6advpj5vj05ukbc,head pattern,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Capped', 'x': 0, 'y': 50}, {'label': 'Crested', 'x': 1, 'y': 50}, {'label': 'Eyebrow', 'x': 2, 'y': 50}, {'label': 'Eyeline', 'x': 3, 'y': 50}, {'label': 'Eyering', 'x': 4, 'y': 50}, {'label': 'Malar', 'x': 5, 'y': 50}, {'label': 'Masked', 'x': 6, 'y': 50}, {'label': 'Plain', 'x': 7, 'y': 50}, {'label': 'Spotted', 'x': 8, 'y': 50}, {'label': 'Striped', 'x': 9, 'y': 50}, {'label': 'Unique pattern', 'x': 10, 'y': 50}]",6846
116,1772075.0,26077.0,6advpj5vj05ukbc,wing color,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0107_110825.jpg,"[{'label': 'Black', 'x': 0, 'y': 50}, {'label': 'Brown', 'x': 1, 'y': 50}, {'label': 'Buff', 'x': 2, 'y': 50}, {'label': 'Grey', 'x': 3, 'y': 50}, {'label': 'Olive', 'x': 4, 'y': 50}, {'label': 'White', 'x': 5, 'y': 25}]",6846
6,56630.0,5157.100000023842,86hy2hs8zyv1gve,breast pattern,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Solid', 'x': 0, 'y': 50}, {'label': 'Spotted', 'x': 1, 'y': 50}]",6884
8,65399.0,8766.40000000596,86hy2hs8zyv1gve,belly pattern,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Solid', 'x': 0, 'y': 48}]",6884
10,69075.0,3670.699999988079,86hy2hs8zyv1gve,tail shape,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Forked tail', 'x': 0, 'y': 50}, {'label': 'Rounded tail', 'x': 1, 'y': 50}]",6884
12,72419.0,3339.899999976158,86hy2hs8zyv1gve,head pattern,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Eyeline', 'x': 0, 'y': 50}, {'label': 'Plain', 'x': 1, 'y': 50}, {'label': 'Striped', 'x': 2, 'y': 50}]",6884
14,77414.0,4989.800000011921,86hy2hs8zyv1gve,leg color,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Black', 'x': 0, 'y': 50}, {'label': 'Brown', 'x': 1, 'y': 50}]",6884
16,80088.0,2670.4000000059605,86hy2hs8zyv1gve,size,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Small (5 - 9 in)', 'x': 0, 'y': 50}]",6884
18,85087.0,4993.100000023842,86hy2hs8zyv1gve,back color,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Brown', 'x': 0, 'y': 50}, {'label': 'Buff', 'x': 1, 'y': 50}]",6884
20,88761.0,3669.899999976158,86hy2hs8zyv1gve,eye color,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Black', 'x': 0, 'y': 50}, {'label': 'Brown', 'x': 1, 'y': 50}]",6884
22,94449.0,5680.5,86hy2hs8zyv1gve,bill color,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Orange', 'x': 0, 'y': 50}, {'label': 'Yellow', 'x': 1, 'y': 50}]",6884
24,100981.0,6527.700000017881,86hy2hs8zyv1gve,shape,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Swallow-like', 'x': 0, 'y': 50}, {'label': 'Tree-clinging-like', 'x': 1, 'y': 50}]",6884
26,107822.0,6836.09999999404,86hy2hs8zyv1gve,crown color,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Black', 'x': 0, 'y': 50}, {'label': 'Brown', 'x': 1, 'y': 50}, {'label': 'Buff', 'x': 2, 'y': 50}]",6884
28,112366.0,4540.0,86hy2hs8zyv1gve,belly color,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Brown', 'x': 0, 'y': 50}]",6884
30,114602.0,2231.399999976158,86hy2hs8zyv1gve,primary color,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Brown', 'x': 0, 'y': 50}]",6884
32,117148.0,2542.5,86hy2hs8zyv1gve,forehead color,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Brown', 'x': 0, 'y': 50}]",6884
34,308331.0,191179.30000001192,86hy2hs8zyv1gve,wing color,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Buff', 'x': 0, 'y': 50}]",6884
36,316043.0,7707.0,86hy2hs8zyv1gve,nape color,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Black', 'x': 0, 'y': 50}, {'label': 'Brown', 'x': 1, 'y': 50}, {'label': 'Buff', 'x': 2, 'y': 50}, {'label': 'Grey', 'x': 3, 'y': 50}]",6884
38,321007.0,4960.200000017881,86hy2hs8zyv1gve,wing pattern,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Solid', 'x': 0, 'y': 50}, {'label': 'Spotted', 'x': 1, 'y': 50}, {'label': 'Striped', 'x': 2, 'y': 50}]",6884
40,326233.0,5222.5,86hy2hs8zyv1gve,bill shape,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Hooked', 'x': 0, 'y': 50}, {'label': 'Spatulate', 'x': 1, 'y': 50}, {'label': 'Specialized', 'x': 2, 'y': 50}]",6884
42,331617.0,5379.700000017881,86hy2hs8zyv1gve,back pattern,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Solid', 'x': 0, 'y': 50}, {'label': 'Striped', 'x': 1, 'y': 50}]",6884
44,336071.0,4450.5,86hy2hs8zyv1gve,upper tail color,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Brown', 'x': 0, 'y': 50}, {'label': 'Buff', 'x': 1, 'y': 50}]",6884
46,339590.0,3514.5,86hy2hs8zyv1gve,upperparts color,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Brown', 'x': 0, 'y': 50}]",6884
48,347518.0,7923.299999982119,86hy2hs8zyv1gve,underparts color,118.House_Sparrow/House_Sparrow_0015_111085.jpg,"[{'label': 'Brown', 'x': 0, 'y': 50}, {'label': 'Buff', 'x': 1, 'y': 50}, {'label': 'Purple', 'x': 2, 'y': 50}]",6884
